i	FRR	threshold	FAR_eb	FAR_ls	FAR_sg
0	0.10%	0.223109	94.30%	31.30%	6.85%
1	0.20%	0.249247	91.80%	25.00%	3.15%
2	0.30%	0.265315	89.35%	22.20%	1.55%
3	0.40%	0.277112	86.35%	20.80%	1.05%
4	0.50%	0.286508	84.25%	19.65%	0.75%
5	0.60%	0.294357	82.70%	18.70%	0.60%
6	0.70%	0.301121	80.80%	18.05%	0.55%
7	0.80%	0.307080	79.40%	17.40%	0.40%
8	0.90%	0.312416	77.75%	16.80%	0.30%
9	1.00%	0.317256	76.10%	16.30%	0.25%
10	1.10%	0.321690	74.60%	16.10%	0.15%
11	1.20%	0.325787	73.45%	15.75%	0.15%
12	1.30%	0.329597	71.95%	15.60%	0.15%
13	1.40%	0.333162	70.75%	15.30%	0.05%
14	1.50%	0.336514	69.50%	15.25%	0.05%
15	1.60%	0.339679	68.60%	15.05%	0.05%
16	1.70%	0.342679	67.20%	14.60%	0.05%
17	1.80%	0.345531	66.20%	14.35%	0.00%
18	1.90%	0.348252	64.85%	14.20%	0.00%
19	2.00%	0.350853	63.60%	13.95%	0.00%
20	2.10%	0.353346	62.80%	13.90%	0.00%
21	2.20%	0.355741	62.00%	13.85%	0.00%
22	2.30%	0.358045	61.30%	13.75%	0.00%
23	2.40%	0.360266	60.25%	13.65%	0.00%
24	2.50%	0.362411	59.40%	13.60%	0.00%
25	2.60%	0.364486	58.50%	13.55%	0.00%
26	2.70%	0.366494	57.80%	13.45%	0.00%
27	2.80%	0.368442	56.95%	13.40%	0.00%
28	2.90%	0.370332	56.15%	13.20%	0.00%
29	3.00%	0.372169	55.30%	13.20%	0.00%
30	3.10%	0.373956	54.55%	13.05%	0.00%
31	3.20%	0.375696	53.95%	12.95%	0.00%
32	3.30%	0.377391	53.35%	12.85%	0.00%
33	3.40%	0.379045	52.70%	12.80%	0.00%
34	3.50%	0.380659	52.00%	12.80%	0.00%
35	3.60%	0.382235	51.45%	12.70%	0.00%
36	3.70%	0.383776	50.80%	12.55%	0.00%
37	3.80%	0.385284	49.90%	12.45%	0.00%
38	3.90%	0.386759	49.40%	12.40%	0.00%
39	4.00%	0.388204	49.15%	12.40%	0.00%
40	4.10%	0.389620	48.65%	12.40%	0.00%
41	4.20%	0.391008	48.35%	12.35%	0.00%
42	4.30%	0.392370	47.90%	12.20%	0.00%
43	4.40%	0.393706	47.20%	12.20%	0.00%
44	4.50%	0.395018	46.80%	12.20%	0.00%
45	4.60%	0.396307	46.25%	12.20%	0.00%
46	4.70%	0.397574	45.55%	12.05%	0.00%
47	4.80%	0.398819	44.90%	12.00%	0.00%
48	4.90%	0.400043	44.40%	12.00%	0.00%
49	5.00%	0.401248	44.05%	12.00%	0.00%
50	5.10%	0.402433	43.60%	12.00%	0.00%
51	5.20%	0.403601	43.10%	11.95%	0.00%
52	5.30%	0.404750	42.85%	11.95%	0.00%
53	5.40%	0.405883	42.35%	11.95%	0.00%
54	5.50%	0.406999	41.95%	11.95%	0.00%
55	5.60%	0.408099	41.55%	11.95%	0.00%
56	5.70%	0.409183	41.15%	11.85%	0.00%
57	5.80%	0.410253	40.50%	11.85%	0.00%
58	5.90%	0.411308	40.05%	11.80%	0.00%
59	6.00%	0.412350	39.80%	11.80%	0.00%
60	6.10%	0.413378	39.70%	11.75%	0.00%
61	6.20%	0.414393	39.20%	11.70%	0.00%
62	6.30%	0.415395	39.00%	11.65%	0.00%
63	6.40%	0.416385	38.60%	11.55%	0.00%
64	6.50%	0.417363	38.15%	11.50%	0.00%
65	6.60%	0.418329	37.80%	11.50%	0.00%
66	6.70%	0.419284	37.35%	11.50%	0.00%
67	6.80%	0.420228	36.90%	11.50%	0.00%
68	6.90%	0.421161	36.70%	11.50%	0.00%
69	7.00%	0.422084	36.35%	11.50%	0.00%
70	7.10%	0.422997	36.00%	11.50%	0.00%
71	7.20%	0.423900	35.60%	11.50%	0.00%
72	7.30%	0.424794	35.35%	11.35%	0.00%
73	7.40%	0.425678	35.15%	11.35%	0.00%
74	7.50%	0.426553	34.80%	11.35%	0.00%
75	7.60%	0.427419	34.55%	11.35%	0.00%
76	7.70%	0.428277	34.15%	11.30%	0.00%
77	7.80%	0.429126	33.80%	11.20%	0.00%
78	7.90%	0.429967	33.40%	11.15%	0.00%
